Country,Region,Economic grouping,FX Reserves,Total Reserves,Gold Reserves Tonnes,Gold Reserves Millions,Holdings 
Bosnia and Herzegovina,Central and Eastern Europe,Upper middle income,AWAITED,AWAITED,AWAITED,AWAITED,AWAITED
Sri Lanka,South Asia,Lower middle income,AWAITED,AWAITED,AWAITED,AWAITED,AWAITED
Slovenia,Central and Eastern Europe,High income,AWAITED,AWAITED,AWAITED,AWAITED,AWAITED
Lithuania,Western Europe,High income,AWAITED,AWAITED,AWAITED,AWAITED,AWAITED
Albania,Central and Eastern Europe,Upper middle income,AWAITED,AWAITED,AWAITED,AWAITED,AWAITED
Yemen,Middle East  North Africa,Low income,AWAITED,AWAITED,AWAITED,AWAITED,AWAITED
Latvia,Western Europe,High income,AWAITED,AWAITED,AWAITED,AWAITED,AWAITED
Algeria,Middle East  North Africa,Upper middle income,AWAITED,AWAITED,AWAITED,AWAITED,AWAITED
Denmark,Western Europe,High income,AWAITED,AWAITED,66.55,9860.03,AWAITED
Spain,Western Europe,High income,AWAITED,AWAITED,AWAITED,AWAITED,AWAITED
Netherlands,Western Europe,High income,AWAITED,AWAITED,AWAITED,AWAITED,AWAITED
Chile,Latin America  Caribbean,High income,AWAITED,AWAITED,AWAITED,AWAITED,AWAITED
Morocco,Middle East  North Africa,Lower middle income,AWAITED,AWAITED,AWAITED,AWAITED,AWAITED
Bangladesh,South Asia,Lower middle income,AWAITED,AWAITED,AWAITED,AWAITED,AWAITED
Venezuela,Latin America  Caribbean,Upper middle income,AWAITED,AWAITED,AWAITED,AWAITED,AWAITED
Croatia,Central and Eastern Europe,High income,AWAITED,AWAITED,AWAITED,AWAITED,AWAITED
Cambodia,South East Asia,Lower middle income,AWAITED,AWAITED,AWAITED,AWAITED,AWAITED
Bolivia,Latin America  Caribbean,Lower middle income,AWAITED,AWAITED,AWAITED,AWAITED,AWAITED
Ireland,Western Europe,High income,AWAITED,AWAITED,AWAITED,AWAITED,AWAITED
Kenya,Sub-Saharan Africa,Lower middle income,AWAITED,AWAITED,AWAITED,AWAITED,AWAITED
Trinidad and Tobago,Latin America  Caribbean,High income,AWAITED,AWAITED,AWAITED,AWAITED,AWAITED
Tunisia,Middle East  North Africa,Lower middle income,AWAITED,AWAITED,AWAITED,AWAITED,AWAITED
Ghana,Sub-Saharan Africa,Lower middle income,AWAITED,AWAITED,AWAITED,AWAITED,AWAITED
Honduras,Latin America  Caribbean,Lower middle income,AWAITED,AWAITED,AWAITED,AWAITED,AWAITED
Paraguay,Latin America  Caribbean,Upper middle income,AWAITED,AWAITED,AWAITED,AWAITED,AWAITED
South Korea,East Asia,High income,AWAITED,AWAITED,AWAITED,AWAITED,AWAITED
France,Western Europe,High income,AWAITED,AWAITED,AWAITED,AWAITED,AWAITED
United Arab Emirates,Middle East  North Africa,High income,AWAITED,AWAITED,AWAITED,AWAITED,AWAITED
Afghanistan,Central Asia,Low income,AWAITED,AWAITED,AWAITED,AWAITED,AWAITED
Mauritania,Middle East  North Africa,Lower middle income,AWAITED,AWAITED,AWAITED,AWAITED,AWAITED
Malawi,Sub-Saharan Africa,Low income,AWAITED,AWAITED,AWAITED,AWAITED,AWAITED
Comoros,Sub-Saharan Africa,Lower middle income,AWAITED,AWAITED,AWAITED,AWAITED,AWAITED
Burundi,Sub-Saharan Africa,Low income,AWAITED,AWAITED,AWAITED,AWAITED,AWAITED
Eritrea,Sub-Saharan Africa,Low income,AWAITED,AWAITED,AWAITED,AWAITED,AWAITED
Myanmar,South East Asia,Lower middle income,AWAITED,AWAITED,AWAITED,AWAITED,AWAITED
Colombia,Latin America  Caribbean,Upper middle income,AWAITED,AWAITED,AWAITED,AWAITED,AWAITED
Nigeria,Sub-Saharan Africa,Lower middle income,AWAITED,AWAITED,AWAITED,AWAITED,AWAITED
Lebanon,Middle East  North Africa,Lower middle income,AWAITED,AWAITED,AWAITED,AWAITED,AWAITED
Belgium,Western Europe,High income,AWAITED,AWAITED,AWAITED,AWAITED,AWAITED
Kuwait,Middle East  North Africa,High income,AWAITED,AWAITED,AWAITED,AWAITED,AWAITED
Austria,Western Europe,High income,AWAITED,AWAITED,AWAITED,AWAITED,AWAITED
